Race,2000 (15-19),2019 (15-19),2000 (20-24),2019 (20-24),2000 (25-29),2019 (25-29),2000 (30-34),2019 (30-34),2000 (35-39),2019 (35-39),2000 (40-44),2019 (40-44)
Asian/Pacific Islander,20.5,4.3,60.3,28,108.4,73,116.5,113.5,59,69.7,12.6,16.3
"Asian/Pacific Islander, not Hispanic/Latina",19.8,3.5,60.2,26.3,110,73,118.5,115,60,70.6,12.7,16.4
Black/African American,77.4,26.1,141.3,89.4,100.3,97.3,65.4,83.2,31.5,47.8,7.2,12.6
"Black/African American, not Hispanic/ Latina",79.2,25.8,145.4,88.5,102.8,96.4,66.5,82.8,31.8,47.7,7.2,12.6
Hispanic/Latina,87.3,25.3,161.3,88,139.9,108,97.1,96.3,46.6,54.6,11.5,14.5
American Indian/Alaska Native,58.3,,117.2,,91.8,,55.5,,24.6,,5.7,
"American Indian/Alaska Native, not Hispanic/Latina",69.3,28.5,143.8,86.1,112.2,89.5,66.8,73.3,28.4,37.6,6.4,8.2
,,,,,,,,,,,,
"White, not Hispanic/Latina",32.6,11.5,91.2,56.2,109.4,90.5,93.2,101.1,38.8,51,7.3,10.4
,,,,,,,,,,,,
Race,Diff (15-19),Diff (20-24),Diff (25-29),Diff (30-34),Diff (35-39),Diff (40-44),,Total Difference,,,,
Asian/Pacific Islander,-16.20,-32.30,-35.40,-3.00,10.70,3.70,,-72.4,,,,
"Asian/Pacific Islander, not Hispanic/Latina",-16.30,-33.90,-37.00,-3.50,10.60,3.70,,-76.3,,,,
Black/African American,-51.30,-51.90,-3.00,17.80,16.30,5.40,,-66.5,,,,
"Black/African American, not Hispanic/ Latina",-53.40,-56.90,-6.40,16.30,15.90,5.40,,-79.2,,,,
Hispanic/Latina,-84.40,-160.50,-140.80,-97.80,-47.90,-11.60,,-543,,,,
American Indian/Alaska Native,,,,,,,,,,,,
"American Indian/Alaska Native, not Hispanic/Latina",-40.80,-57.70,-22.70,6.50,9.20,1.80,,-103.5,,,,
White,-27.70,-41.40,-20.90,6.30,12.20,3.60,,-67.8,,,,
"White, not Hispanic/Latina",-21.10,-35.00,-18.90,7.90,12.20,3.10,,-51.7,,,,