15-17,,,,,
Start_Year,End_Year,All,Asian_not_HL_Single_Race,Asian_PI,Asian_PI_not_HL
2005,2006,0.0005,,0.0005,0.0006
2006,2007,0.0001,,-0.0008,-0.0007
2015,2016,-0.0011,,0.0002,-0.0005
,,,,,
15-19,,,,,
Start_Year,End_Year,All,Asian_not_HL_Single_Race,Asian_PI,Asian_PI_not_HL
2005,2006,0.0014,,-0.0001,0.0001
2006,2007,0.0004,,-0.0005,-0.0004
2015,2016,-0.002,,0.0004,-0.0008
,,,,,
18-19,,,,,
Start_Year,End_Year,All,Asian_not_HL_Single_Race,Asian_PI,Asian_PI_not_HL
2005,2006,0.0028,,-0.001,-0.0008
2006,2007,0.0005,,-0.0005,-0.0002
2015,2016,-0.0032,,0.0007,-0.0012
,,,,,
20-24,,,,,
Start_Year,End_Year,All,Asian_not_HL_Single_Race,Asian_PI,Asian_PI_not_HL
2004,2005,0.0003,,-0.0004,-0.0008
2005,2006,0.0037,,0.0009,0.0011
2015,2016,-0.003,,0.0017,-0.0014
,,,,,
,,,,,
25-29,,,,,
Start_Year,End_Year,All,Asian_not_HL_Single_Race,Asian_PI,Asian_PI_not_HL
2000,2001,0.0003,,-0.0061,-0.0059
2001,2002,0.0009,,0.0001,0.0001
2002,2003,0.002,,0.0003,-0.0015
2005,2006,0.0015,,-0.0009,-0.0004
2006,2007,0.0001,,0.0035,0.0039
2010,2011,-0.0011,,0.0022,0.002
2011,2012,-0.0007,,0.0021,0.0023
2013,2014,0.0003,,0.0005,0.0004
2015,2016,-0.0022,,0.0056,0.0028
,,,,,
30-34,,,,,
Start_Year,End_Year,All,Asian_not_HL_Single_Race,Asian_PI,Asian_PI_not_HL
2000,2001,0.0006,,-0.0066,-0.0064
2001,2002,0.0008,,0.0026,0.0028
2002,2003,0.0031,,0.0034,0.001
2003,2004,0.0005,,0.0024,0.0041
2004,2005,0.0005,,-0.003,-0.0032
2005,2006,0.0022,,0.002,0.0024
2006,2007,0.0017,,0.0043,0.0049
2010,2011,0,,0.0013,0.001
2011,2012,0.0008,,0.0064,0.0066
2012,2013,0.0007,,-0.0067,-0.007
2013,2014,0.0028,,0.0067,0.0068
2014,2015,0.0007,,-0.0039,-0.0041
2015,2016,0.0012,,0.0074,0.005
2018,2019,-0.0014,-0.0009,0.0008,0.0004
,,,,,
35-39,,,,,
Start_Year,End_Year,All,Asian_not_HL_Single_Race,Asian_PI,Asian_PI_not_HL
2000,2001,0.0008,,-0.0028,-0.0027
2001,2002,0.0011,,0.0016,0.0017
2002,2003,0.0023,,0.0022,0.001
2003,2004,0.0016,,0.0022,0.0031
2004,2005,0.0009,,-0.0004,-0.0006
2005,2006,0.0011,,0.0016,0.0019
2006,2007,0.0001,,0.0024,0.0025
2010,2011,0.0013,,0.0013,0.0012
2011,2012,0.0011,,0.004,0.0041
2012,2013,0.001,,-0.0015,-0.0015
2013,2014,0.0017,,0.0023,0.0025
2014,2015,0.0008,,-0.0013,-0.0015
2015,2016,0.0009,,0.0041,0.0026
2017,2018,0.0003,-0.0008,-0.0023,-0.0007
2018,2019,0.0002,0.0003,0.0013,0.001
,,,,,
40-44,,,,,
Start_Year,End_Year,All,Asian_not_HL_Single_Race,Asian_PI,Asian_PI_not_HL
2000,2001,0.0001,,-0.0004,-0.0004
2001,2002,0.0002,,0.0004,0.0005
2002,2003,0.0004,,0.0008,0.0006
2003,2004,0.0003,,0.0002,0.0003
2004,2005,0.0001,,0.0001,0.0001
2005,2006,0.0003,,0.0003,0.0005
2006,2007,0.0002,,0.0002,0.0001
2007,2008,0.0003,,0.0005,0.0005
2008,2009,0.0001,,0.0002,0.0002
2009,2010,0.0002,,0.0002,0.0003
2010,2011,0.0001,,0.0001,0
2011,2012,0.0001,,0.0009,0.0009
2013,2014,0.0002,,0,0.0001
2014,2015,0.0004,,-0.0002,-0.0003
2015,2016,0.0004,,0.0006,0.0002
2016,2017,0.0002,0.0001,0,0
2017,2018,0.0002,-0.0004,-0.0007,-0.0002
2018,2019,0.0002,0.0004,0.0005,0.0003