15-17,,,,,,
Start_Year,End_Year,All,White,White_Single_Race,White_not_HL,White_not_HL_Single_Race
2005,2006,0.0005,0.0004,,0.0003,
2006,2007,0.0001,0.0003,,0.0001,
,,,,,,
15-19,,,,,,
Start_Year,End_Year,All,White,White_Single_Race,White_not_HL,White_not_HL_Single_Race
2005,2006,0.0014,0.0012,,0.0007,
2006,2007,0.0004,0.0005,,0.0005,
,,,,,,
18-19,,,,,,
Start_Year,End_Year,All,White,White_Single_Race,White_not_HL,White_not_HL_Single_Race
2005,2006,0.0028,0.0027,,0.0014,
2006,2007,0.0005,0.0005,,0.001,
,,,,,,
20-24,,,,,,
Start_Year,End_Year,All,White,White_Single_Race,White_not_HL,White_not_HL_Single_Race
2004,2005,0.0003,0.0001,,-0.0003,
2005,2006,0.0037,0.0035,,0.0024,
2006,2007,-0.0001,0.0001,,0,
,,,,,,
25-29,,,,,,
Start_Year,End_Year,All,White,White_Single_Race,White_not_HL,White_not_HL_Single_Race
2000,2001,0.0003,0.0011,,0.0002,
2001,2002,0.0009,0.0012,,0.0008,
2002,2003,0.002,0.0023,,0.0023,
2005,2006,0.0015,0.0013,,0.0005,
2006,2007,0.0001,0,,-0.0002,
2013,2014,0.0003,0.0003,,0.0004,
,,,,,,
30-34,,,,,,
Start_Year,End_Year,All,White,White_Single_Race,White_not_HL,White_not_HL_Single_Race
2000,2001,0.0006,0.0013,,0.0011,
2001,2002,0.0008,0.0008,,0.0007,
2002,2003,0.0031,0.0034,,0.0034,
2003,2004,0.0005,0.0002,,-0.0001,
2004,2005,0.0005,0.0004,,0.0001,
2005,2006,0.0022,0.002,,0.0016,
2006,2007,0.0017,0.0017,,0.0015,
2009,2010,-0.001,-0.0008,,0.0002,
2010,2011,0,-0.0004,,0.0002,
2011,2012,0.0008,0.0001,,0.0004,
2012,2013,0.0007,0.0011,,0.0014,
2013,2014,0.0028,0.0026,,0.0028,
2014,2015,0.0007,0.0009,,0.0004,
2015,2016,0.0012,-0.0001,,0.0009,
2017,2018,-0.0006,0.0002,0.0002,-0.0006,-0.0006
,,,,,,
35-39,,,,,,
Start_Year,End_Year,All,White,White_Single_Race,White_not_HL,White_not_HL_Single_Race
2000,2001,0.0008,0.0012,,0.001,
2001,2002,0.0011,0.0012,,0.0011,
2002,2003,0.0023,0.0024,,0.0026,
2003,2004,0.0016,0.0017,,0.0016,
2004,2005,0.0009,0.0009,,0.0009,
2005,2006,0.0011,0.001,,0.0008,
2006,2007,0.0001,-0.0001,,-0.0005,
2010,2011,0.0013,0.0012,,0.0017,
2011,2012,0.0011,0.0009,,0.001,
2012,2013,0.001,0.0011,,0.0012,
2013,2014,0.0017,0.0016,,0.0016,
2014,2015,0.0008,0.001,,0.001,
2015,2016,0.0009,0.0001,,0.0004,
2017,2018,0.0003,0.0008,0.0008,0.0005,0.0005
2018,2019,0.0002,0,0,-0.0001,0
,,,,,,
40-44,,,,,,
Start_Year,End_Year,All,White,White_Single_Race,White_not_HL,White_not_HL_Single_Race
2000,2001,0.0001,0.0001,,0.0002,
2001,2002,0.0002,0.0002,,0.0002,
2002,2003,0.0004,0.0005,,0.0004,
2003,2004,0.0003,0.0002,,0.0002,
2004,2005,0.0001,0.0001,,0,
2005,2006,0.0003,0.0003,,0.0002,
2006,2007,0.0002,0.0002,,0.0002,
2007,2008,0.0003,0.0002,,0.0002,
2008,2009,0.0001,0.0002,,0.0002,
2009,2010,0.0002,0.0001,,0.0001,
2010,2011,0.0001,0.0001,,0.0001,
2011,2012,0.0001,-0.0001,,-0.0002,
2012,2013,0,0.0001,,0,
2013,2014,0.0002,0.0001,,0,
2014,2015,0.0004,0.0004,,0.0003,
2015,2016,0.0004,0.0003,,0.0004,
2016,2017,0.0002,0.0001,0.0001,0.0002,0.0002
2017,2018,0.0002,0.0004,0.0004,0.0002,0.0003
2018,2019,0.0002,0.0001,0.0001,0.0002,0.0001